NAME,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10547,84167,82132,81820,84925,94982,96833,97708,117721,110685,123438,123229
10548,98083,96023,93000,83167,77059,78724,80369,84444,89572,88784,111052
10549,79153,80460,81839,88508,91184,95704,105642,109450,108287,106961,110813
10550,40912,40833,39954,40492,40698,42002,43900,47955,49648,43234,48472
10552,64848,64494,64001,68530,70991,68196,74386,74427,77242,78399,86470
10553,63740,59946,58514,64295,70513,60403,68644,71477,74942,76704,80400
10560,120313,145131,127604,131500,126905,129306,138875,134076,132303,147632,159957
10562,78028,76446,74896,75848,71773,73797,74226,76793,81952,91901,97083
10566,58675,60833,58226,51961,52125,55453,54709,54332,57022,66067,75642
10567,102919,108618,105199,108446,119521,118482,114207,126907,134719,130442,143465
10570,133714,128646,123778,125488,125814,124427,132601,134545,146969,156774,165439
10573,61795,63931,66629,70532,67206,69523,76097,82150,87977,91935,98626
10576,205982,180417,154643,170278,172714,180000,195167,205905,199167,199559,215119
10577,197692,203750,228487,209350,216250,193125,213173,202583,164181,188685,"250,000+"
10578,124659,122188,130260,115114,115714,106176,105625,110972,111076,"250,000+","250,000+"
10579,98063,102589,102188,107066,105694,120162,116223,103750,108750,122868,122193
10580,149973,150486,153640,158281,156595,168750,178333,183871,195172,202588,211696
10583,165797,165792,168571,169583,175123,177332,186053,201232,208212,205564,218498
10588,87885,77528,71686,72958,73054,73233,76777,103516,111862,113500,119620
10589,96845,91554,98462,103721,100240,94652,94901,103239,100313,104464,106500
10590,135000,132037,126012,129632,131607,141646,135000,144722,153571,139735,160278
10591,78849,75091,80814,78227,78388,79988,89478,95339,98071,98349,100993
10594,106847,110000,114286,122583,116950,133256,144750,147115,165179,169740,167857
10595,99922,103922,107708,107522,103889,106331,108586,110448,109950,104112,99500
10596,58539,54318,52051,54773,54432,70714,92283,93533,85417,81711,83512
10597,222188,186554,189737,"250,000+",207895,222917,"250,000+","250,000+",237667,242500,"250,000+"
10598,103909,103815,106576,108093,116862,116741,121250,124555,128545,129370,140337
10601,68776,64106,67754,70477,69234,70701,74177,65435,71290,86250,75592
10603,86278,87572,91903,92419,91884,94088,100013,99005,95833,111781,118063
10604,81563,76480,83842,81814,87396,84741,88750,93692,101508,95859,101619
10605,102509,105801,108047,107782,107325,108065,111201,111399,116895,119132,131463
10606,58615,59440,68368,74733,69579,75775,79379,79882,80492,81603,101853
10607,127979,131536,132857,140478,130982,127232,139135,132141,136250,145667,142344
10701,42276,42827,43767,45893,42238,45049,46519,44559,47525,52657,55553
10703,61660,57466,57116,59653,58244,60964,60068,64456,66322,78457,78473
