NAME,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10171,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10172,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10173,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10177,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10271,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10279,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10280,1,1,1,1,1,1,1,1,1,1,1
10282,1,1,1,1,1,1,1,1,1,1,1
10301,1,1,1,1,0,0,0,0,0,1,1
10302,1,1,1,1,0,0,1,1,0,1,1
10303,1,0,0,0,0,0,0,0,0,1,1
10304,1,1,1,1,0,0,0,0,0,0,0
10305,1,1,1,1,1,1,1,1,1,1,1
10306,1,1,1,1,1,1,1,1,1,1,1
10307,1,1,1,1,1,1,1,1,1,1,1
10308,1,1,1,1,1,1,1,1,1,1,1
10309,1,1,1,1,1,1,1,1,1,1,1
10310,1,1,1,1,1,1,1,1,1,1,1
10311,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10312,1,1,1,1,1,1,1,1,1,1,1
10314,1,1,1,1,1,1,1,1,1,1,1
10451,0,0,0,0,0,0,0,0,0,0,0
10452,0,0,0,0,0,0,0,0,0,0,0
10453,0,0,0,0,0,0,0,0,0,0,0
10454,0,0,0,0,0,0,0,0,0,0,0
10455,0,0,0,0,0,0,0,0,0,0,0
10456,0,0,0,0,0,0,0,0,0,0,0
10457,0,0,0,0,0,0,0,0,0,0,0
10458,0,0,0,0,0,0,0,0,0,0,0
10459,0,0,0,0,0,0,0,0,0,0,0
10460,0,0,0,0,0,0,0,0,0,0,0
10461,1,0,1,0,0,0,0,0,0,0,0
10462,0,0,0,0,0,0,0,0,0,0,0
10463,1,1,1,1,1,0,0,0,0,0,0
10464,1,1,1,1,1,1,1,1,1,1,1
10465,1,1,1,1,1,1,1,1,1,1,1
10466,0,0,0,0,0,0,0,0,0,0,0
10467,0,0,0,0,0,0,0,0,0,0,0
10468,0,0,0,0,0,0,0,0,0,0,0
10469,1,1,1,1,1,0,1,0,0,1,1
10470,1,1,1,1,1,0,0,0,0,0,1
10471,1,1,1,1,1,1,1,1,1,1,1
10472,0,0,0,0,0,0,0,0,0,0,0
10473,0,0,0,0,0,0,0,0,0,0,0
10474,0,0,0,0,0,0,0,0,0,0,0
10475,0,0,0,0,0,0,0,0,0,0,0
10501,1,1,1,1,1,1,1,1,1,1,1
10502,1,1,1,1,1,1,1,1,1,1,1
10503,1,1,1,1,-1,-1,-1,-1,1,-1,1
10504,1,1,1,1,1,1,1,1,1,1,1
10505,1,1,1,1,1,1,-1,-1,1,1,1
10506,1,1,1,1,1,1,1,1,1,1,1
10507,1,1,1,1,1,1,0,1,1,1,1
10509,1,1,1,1,1,1,1,1,1,1,1
10510,1,1,1,1,1,1,1,1,1,1,1
10511,1,1,1,1,1,1,1,1,1,1,1
10512,1,1,1,1,1,1,1,1,1,1,1
10514,1,1,1,1,1,1,1,1,1,1,1
10516,1,1,1,1,1,1,1,1,1,1,1
10517,1,1,1,1,1,1,1,1,1,1,1
10518,1,1,1,1,1,1,1,1,1,1,-1
10519,1,1,1,1,-1,-1,-1,1,1,1,-1
10520,1,1,1,1,1,1,1,1,1,1,1
10522,1,1,1,1,1,1,1,1,1,1,1
10523,1,1,1,1,1,1,1,1,1,1,1
10524,1,1,1,1,1,1,1,1,1,1,1
10526,1,1,1,1,1,1,1,1,1,1,1
10527,1,1,1,1,1,1,1,1,1,1,1
10528,1,1,1,1,1,1,1,1,1,1,1
10530,1,1,1,1,1,1,1,1,1,1,1
10532,1,1,1,1,1,1,1,1,1,1,1
10533,1,1,1,1,1,1,1,1,1,1,1
10535,1,1,1,1,0,1,1,-1,-1,1,1
10536,1,1,1,1,1,1,1,1,1,1,1
10537,1,1,1,1,1,1,1,1,1,1,1
10538,1,1,1,1,1,1,1,1,1,1,1
10541,1,1,1,1,1,1,1,1,1,1,1
10543,1,1,1,1,1,1,1,1,1,1,1
10545,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10546,1,1,1,1,1,1,1,1,1,1,1
10547,1,1,1,1,1,1,1,1,1,1,1
10548,1,1,1,1,1,1,1,1,1,1,1
10549,1,1,1,1,1,1,1,1,1,1,1
10550,0,0,0,0,0,0,0,0,0,0,0
10552,1,1,1,1,1,1,1,1,1,1,1
10553,1,1,1,1,1,1,1,1,1,1,1
10560,1,1,1,1,1,1,1,1,1,1,1
10562,1,1,1,1,1,1,1,1,1,1,1
10566,1,1,1,0,0,0,0,0,0,0,1
10567,1,1,1,1,1,1,1,1,1,1,1
10570,1,1,1,1,1,1,1,1,1,1,1
