,house_number,street,zipcode,boro,latitude,longitude,type_of_violation,status,year_of_violation
680,1031,MANOR AVENUE,10472,BRONX,40.825007,-73.875481,maintenance code violation,Close,2021
681,3802,GLENWOOD ROAD,11210,BROOKLYN,40.634477,-73.939954,maintenance code violation,Close,2020
682,89-52,QUEENS BOULEVARD,11373,QUEENS,40.734209,-73.872879,maintenance code violation,Close,2021
683,1843,PITKIN AVENUE,11212,BROOKLYN,40.67058,-73.904803,maintenance code violation,Close,2013
684,209,WADSWORTH AVENUE,10033,MANHATTAN,40.851355,-73.933845,maintenance code violation,Open,2020
685,795,EAST 151 STREET,10455,BRONX,40.814598,-73.906002,maintenance code violation,Open,2021
686,1843,PITKIN AVENUE,11212,BROOKLYN,40.67058,-73.904803,maintenance code violation,Close,2013
687,1270,GERARD AVENUE,10452,BRONX,40.837027,-73.919324,maintenance code violation,Close,2021
688,1,WEST END AVENUE,10019,MANHATTAN,40.771711,-73.990397,maintenance code violation,Close,2021
689,1,WEST END AVENUE,10019,MANHATTAN,40.771711,-73.990397,maintenance code violation,Open,2021
690,1843,PITKIN AVENUE,11212,BROOKLYN,40.67058,-73.904803,maintenance code violation,Close,2013
691,519,WEST 147 STREET,10031,MANHATTAN,40.82686,-73.947419,maintenance code violation,Close,2021
692,77-07,WOODSIDE AVENUE,11373,QUEENS,40.743581,-73.887816,maintenance code violation,Open,2021
693,1270,GERARD AVENUE,10452,BRONX,40.837027,-73.919324,maintenance code violation,Close,2021
694,560,AUDUBON AVENUE,10040,MANHATTAN,40.856346,-73.926794,maintenance code violation,Close,2021
695,506,WEST 146 STREET,10031,MANHATTAN,40.826122,-73.947651,maintenance code violation,Close,2021
696,3230,CRUGER AVENUE,10467,BRONX,40.872255,-73.866129,maintenance code violation,Close,2013
697,13,BREVOORT PLACE,11216,BROOKLYN,40.680022,-73.954933,maintenance code violation,Close,2019
698,168-38,89 AVENUE,11432,QUEENS,40.708981,-73.792846,maintenance code violation,Close,2021
699,72-06,69 STREET,11385,QUEENS,40.701545,-73.882741,maintenance code violation,Close,2019
700,72-06,69 STREET,11385,QUEENS,40.701545,-73.882741,maintenance code violation,Close,2019
701,72-06,69 STREET,11385,QUEENS,40.701545,-73.882741,maintenance code violation,Close,2019
702,50,KENILWORTH PLACE,11210,BROOKLYN,40.634803,-73.951065,maintenance code violation,Close,2014
703,1760,MONTGOMERY AVENUE,10453,BRONX,40.850722,-73.918114,maintenance code violation,Close,2013
704,527,FLUSHING AVENUE,11205,BROOKLYN,40.699348,-73.953914,maintenance code violation,Close,2021
705,1760,MONTGOMERY AVENUE,10453,BRONX,40.850722,-73.918114,maintenance code violation,Close,2013
706,2129,CROTONA AVENUE,10457,BRONX,40.849097,-73.887964,maintenance code violation,Close,2021
707,4424,10 AVENUE,11219,BROOKLYN,40.64164,-73.996008,maintenance code violation,Close,2019
708,151,DANIEL LOW TERRACE,10301,STATEN ISLAND,40.640923,-74.080363,maintenance code violation,Close,2013
709,269,LINDEN STREET,11237,BROOKLYN,40.697737,-73.915157,maintenance code violation,Open,2013
710,1654,UNION STREET,11213,BROOKLYN,40.667946,-73.933569,maintenance code violation,Close,2014
711,101-17,115 STREET,11419,QUEENS,40.688685,-73.829166,maintenance code violation,Open,2021
712,10-12,NAMEOKE STREET,11691,QUEENS,40.603221,-73.748926,maintenance code violation,Close,2020
713,113,LINDEN STREET,11221,BROOKLYN,40.693162,-73.919649,maintenance code violation,Open,2020
714,1231,WHITE PLAINS ROAD,10472,BRONX,40.831445,-73.862052,maintenance code violation,Close,2014
715,1231,WHITE PLAINS ROAD,10472,BRONX,40.831445,-73.862052,maintenance code violation,Close,2014
